PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,latitude,longitude,LEVEL,ENROLMENT,2023_OSO,OSO_pct,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,special,mothertongue1_code,mothertongue2_code,mothertongue3_code,HMSP_Tier,HMSP_Score
54,TANJONG KATONG PRIMARY SCHOOL,EAST,E5,5,1.30532425,103.9004551,PRIMARY,1237,117,0.09458367,MARINE PARADE,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,B,0.833333333
55,TANJONG KATONG SECONDARY SCHOOL,EAST,E5,5,1.30874385,103.8972354,SECONDARY,977,69,0.07062436,MARINE PARADE,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Yes,Chinese,Malay,Tamil,D,0.375
56,CASUARINA PRIMARY SCHOOL,EAST,E6,6,1.3728079,103.9572279,PRIMARY,1039,152,0.146294514,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.142857143
57,NGEE ANN SECONDARY SCHOOL,EAST,E6,6,1.3543069,103.9566528,SECONDARY,1102,156,0.141560799,TAMPINES,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Yes,Chinese,Malay,Tamil,D,0.375
58,OASIS PRIMARY SCHOOL,EAST,E6,6,1.40465295,103.9109764,PRIMARY,1618,168,0.103831891,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.125
59,PARK VIEW PRIMARY SCHOOL,EAST,E6,6,1.3776122,103.9392671,PRIMARY,1120,121,0.108035714,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.4
60,PASIR RIS PRIMARY SCHOOL,EAST,E6,6,1.37215285,103.9630263,PRIMARY,1145,132,0.115283843,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.333333333
61,PASIR RIS SECONDARY SCHOOL,EAST,E6,6,1.35470585,103.9485272,SECONDARY,1088,127,0.116727941,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,C,0.5
62,ST. HILDA'S PRIMARY SCHOOL,EAST,E6,6,1.3493751,103.9365936,PRIMARY,1718,172,0.100116414,TAMPINES,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,Yes,Chinese,Malay,Tamil,D,0.25
63,ST. HILDA'S SECONDARY SCHOOL,EAST,E6,6,1.350089,103.9369951,SECONDARY,1042,149,0.142994242,TAMPINES,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,B,0.875
64,TAMPINES NORTH PRIMARY SCHOOL,EAST,E6,6,1.3605548,103.9490661,PRIMARY,1402,176,0.12553495,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,C,0.714285714
65,TAMPINES PRIMARY SCHOOL,EAST,E6,6,1.3503174,103.9439019,PRIMARY,1359,147,0.10816777,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.25
66,TAMPINES SECONDARY SCHOOL,EAST,E6,6,1.3494462,103.9441023,SECONDARY,1054,172,0.163187856,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,B,0.875
67,WATERWAY PRIMARY SCHOOL,EAST,E6,6,1.39924075,103.9183743,PRIMARY,1718,180,0.104772992,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0
68,WHITE SANDS PRIMARY SCHOOL,EAST,E6,6,1.36547295,103.9612546,PRIMARY,1119,148,0.132260947,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.125
69,CEDAR GIRLS' SECONDARY SCHOOL,EAST,E7,7,1.33422015,103.8742312,SECONDARY,1210,93,0.076859504,TOA PAYOH,EAST,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,Yes,Yes,Chinese,Malay,Tamil,B,0.8
70,CHIJ (KATONG),EAST,E7,7,1.30643785,103.910832,PRIMARY,1189,104,0.087468461,BEDOK,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.166666667
71,CHIJ KATONG CONVENT,EAST,E7,7,1.30633255,103.9177829,SECONDARY,1021,129,0.126346719,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Yes,Chinese,Malay,Tamil,C,0.571428571
