PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,PRI,SEC,n_STALLS,n_PASS,TIER_SCORE,TIER,latitude,longitude
120,GREENDALE SECONDARY SCHOOL,NORTH,N4,11,0,1,9,3,0.25,D,1.397582,103.9115751
121,HORIZON PRIMARY SCHOOL,NORTH,N4,11,1,0,8,2,0.125,E,1.3999704,103.9130699
122,MARIS STELLA HIGH SCHOOL (PRI),NORTH,N4,11,1,0,7,1,0.142857143,E,1.34201595,103.8782516
123,MARIS STELLA HIGH SCHOOL (SEC),NORTH,N4,11,0,1,9,4,0.555555556,C,1.3411,103.8777
124,MEE TOH SCHOOL,NORTH,N4,11,1,0,10,7,0.7,C,1.394834,103.9086538
125,MONTFORT JUNIOR SCHOOL,NORTH,N4,11,1,0,5,1,0,E,1.37465235,103.8895368
126,MONTFORT SECONDARY SCHOOL,NORTH,N4,11,0,1,8,3,0.222222222,E,1.37383325,103.8887952
127,NAN CHIAU HIGH SCHOOL,NORTH,N4,11,0,1,8,3,0.375,D,1.3894693,103.8900833
128,NAN CHIAU PRIMARY SCHOOL,NORTH,N4,11,1,0,8,2,0.222222222,E,1.39202675,103.8910424
129,NORTH SPRING PRIMARY SCHOOL,NORTH,N4,11,1,0,7,2,0.142857143,E,1.3876014,103.9037892
130,PUNGGOL SECONDARY SCHOOL,NORTH,N4,11,0,1,11,3,0.272727273,D,1.40239815,103.9091468
131,ADMIRALTY PRIMARY SCHOOL,NORTH,N5,12,1,0,6,2,0.333333333,D,1.4429414,103.8003451
132,EVERGREEN PRIMARY SCHOOL,NORTH,N5,12,1,0,10,3,0.555555556,C,1.44383025,103.7947361
133,EVERGREEN SECONDARY SCHOOL,NORTH,N5,12,0,1,10,0,0,E,1.44173915,103.7940238
134,GREENWOOD PRIMARY SCHOOL,NORTH,N5,12,1,0,8,4,0.375,D,1.4399652,103.8047573
135,MARSILING PRIMARY SCHOOL,NORTH,N5,12,1,0,6,3,0.5,C,1.43412565,103.77337
136,MARSILING SECONDARY SCHOOL,NORTH,N5,12,0,1,10,6,0.6,C,1.43731895,103.7759431
137,QIHUA PRIMARY SCHOOL,NORTH,N5,12,1,0,7,4,0.571428571,C,1.4420502,103.7883337
138,RIVERSIDE SECONDARY SCHOOL,NORTH,N5,12,0,1,9,3,0.4,D,1.44098195,103.7881434
139,SPECTRA SECONDARY SCHOOL,NORTH,N5,12,0,1,6,2,0.333333333,D,1.43640725,103.8042836
140,WOODGROVE PRIMARY SCHOOL,NORTH,N5,12,1,0,8,1,0.125,E,1.4331096,103.790305
141,WOODLANDS RING PRIMARY SCHOOL,NORTH,N5,12,1,0,6,2,0.375,D,1.43466535,103.7978405
142,WOODLANDS SECONDARY SCHOOL,NORTH,N5,12,0,1,7,2,0.142857143,E,1.4396213,103.7743813
143,AHMAD IBRAHIM SECONDARY SCHOOL,NORTH,N6,13,0,1,10,6,0.666666667,C,1.436779147,103.8291673
